symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
FOREU,221.0,1544.3333333333333,11807.8,13548.4,8408.2
ALLO,757438.0,867021.3333333334,936294.0,908192.6666666666,1158822.0666666667
RCB,3159.0,3625.0,7435.8,5117.066666666667,8842.166666666666
DBV,2390.0,11092.666666666666,13855.4,6312.4,3981.7
FAZ,2486537.0,2813332.0,3032219.0,2099018.933333333,1710020.6
FBND,247822.0,227918.33333333334,251074.4,259087.6,222103.93333333332
PBFX,129799.0,158162.33333333334,252047.6,212324.6,180819.23333333334
ZTO,3663521.0,5804251.333333333,5526256.0,5281527.866666666,3493154.2
IGBH,157128.0,112536.0,124807.4,105351.53333333334,137184.86666666667
GBGR,90.0,105.33333333333333,127.6,430.93333333333334,502.8
FHN-C,400.0,1037.0,1382.8,1565.0666666666666,2016.5
JJG,676.0,1880.3333333333333,5484.2,6068.133333333333,5860.166666666667
LBPH,42753.0,26493.333333333332,19136.6,17195.466666666667,34995.86666666667
WTFC,271812.0,266430.3333333333,298050.8,281084.6,294929.0
TSIBW,743.0,3188.3333333333335,4464.4,5184.466666666666,12855.0
THCAU,1689.0,1264.3333333333333,1008.6,645.8,1214.2666666666667
BSCR,53090.0,133012.0,115963.2,94794.86666666667,106692.86666666667
BLDEW,25480.0,18479.333333333332,19323.0,31030.2,37986.833333333336
ARCT,679188.0,635024.6666666666,635385.8,607785.8,585056.9
AVUS,116122.0,160258.0,140351.4,111622.93333333333,99480.9
BSY,1336867.0,1086103.6666666667,1195914.0,1042462.2,912559.9333333333
ONEW,72759.0,65441.333333333336,79072.8,83655.33333333333,80781.63333333333
FXB,5787.0,6625.666666666667,7337.4,7948.266666666666,11751.433333333332
NWFL,3533.0,2990.6666666666665,7228.4,9307.6,10544.2
BAK,319282.0,349093.3333333333,318310.2,196489.06666666668,201441.0
NWN,219032.0,169695.66666666666,190434.2,184729.53333333333,183060.4
FRC-L,48480.0,51064.666666666664,75964.8,63075.26666666667,46846.7
GECC,80540.0,89521.33333333333,89566.4,71009.26666666666,75982.3
ASRT,556921.0,505302.6666666667,467748.8,616082.4666666667,1665058.2
ICAD,328790.0,192583.66666666666,218972.8,197315.86666666667,191942.7
DMYS,48615.0,507990.6666666667,416280.4,415635.8,415635.8
PRM,977142.0,1188848.6666666667,1322144.2,871814.2666666667,735262.3684210526
TBKCP,3599.0,1545.6666666666667,1201.4,1466.7333333333333,1961.9333333333334
XBOC,5818.0,4326.333333333333,4162.0,2572.133333333333,2987.633333333333
SCLE,422800.0,359797.3333333333,1163100.4,405927.8,214825.66666666666
BORR,790636.0,1234375.3333333333,1572775.6,1387803.2,2031776.2333333334
BA,11587882.0,14255345.0,13745390.6,13223023.666666666,10970576.133333333
NUDM,45868.0,73795.66666666667,118264.0,65439.4,44738.1
BTAL,67330.0,132182.66666666666,132021.2,60614.46666666667,59564.0
SUPN,646116.0,572310.0,598416.6,484322.4666666667,445315.0333333333
SAL,1294.0,1144.0,3109.0,2399.0666666666666,2274.8333333333335
VRS,220681.0,140189.33333333334,155373.8,145998.4,136802.33333333334
FLOT,1038334.0,1622402.3333333333,1345099.8,1013604.0,944420.4666666667
AXS,578818.0,472104.0,447657.6,348059.8,367791.93333333335
SDS,37109608.0,36939671.333333336,33348270.4,21953529.8,18736667.4
EMIH,87.0,195.0,478.0,676.7333333333333,2122.633333333333
NLITW,5001.0,1768.0,14338.0,12846.533333333333,31455.7
CTT,307655.0,416286.0,1186889.4,703584.2,516425.9
PYCR,440469.0,750028.0,697231.6,519479.3333333333,467926.1666666667
CDNS,1463756.0,1866699.6666666667,2040886.2,1442581.1333333333,1314550.7666666666
PBS,595270.0,200682.66666666666,127113.6,54995.26666666667,30182.3
SMAPW,51718.0,102782.33333333333,79230.4,227785.83333333334,227785.83333333334
SLCA,521004.0,643067.3333333334,793876.6,672279.9333333333,841992.0666666667
CSII,467786.0,414210.0,555467.8,500251.5333333333,391790.1666666667
YSACW,35913.0,23465.666666666668,19216.2,25631.266666666666,33284.46666666667
SHAG,57964.0,31062.666666666668,54402.4,35888.333333333336,26385.666666666668
FLXS,42293.0,33192.0,33791.0,25793.133333333335,34336.73333333333
BSCS,22141.0,55341.666666666664,53360.4,34221.0,47191.1
PTR,302061.0,270166.3333333333,236967.8,178805.66666666666,171628.76666666666
HCAC.U,25926.0,9882.666666666666,6209.6,3807.5333333333333,48119.53333333333
SPYV,3679753.0,4025971.0,4381432.6,2702790.6,2426094.0
AMAM,14938.0,9578.333333333334,8966.8,6755.8,7757.8
PQDI,1363.0,1100.0,660.2,1917.5333333333333,1430.8
PFX,5561.0,8184.333333333333,8300.8,6906.266666666666,5747.233333333334
SPUC,11753.0,6248.0,4543.2,3750.5333333333333,2865.9
JMIA,4460758.0,5160267.0,5063087.4,7012593.866666666,5090862.533333333
KOS,10203098.0,9520164.666666666,10251108.4,9269107.533333333,9501410.966666667
EOCW,13153.0,13268.0,76584.4,50817.13333333333,53486.1
HEGD,30666.0,42057.666666666664,38664.0,41450.0,39354.333333333336
TBK,172909.0,156346.66666666666,149925.8,173259.8,141974.96666666667
DHCNL,16115.0,20449.666666666668,29730.6,18443.933333333334,17285.433333333334
TER,1926409.0,1725150.3333333333,1787649.2,1392036.7333333334,1608768.0666666667
PRCH,1060323.0,1159880.0,1191131.0,1174688.6666666667,1322912.3
BIPH,16522.0,13226.333333333334,15253.4,10455.0,10571.433333333332
GB,17384.0,10073.333333333334,7779.0,7339.733333333334,10614.833333333334
TNP-B.CL,20701.0,7622.0,4793.2,2130.4285714285716,2130.4285714285716
GAMR,8504.0,7742.666666666667,6108.0,8573.533333333333,7711.266666666666
GHL,125666.0,83475.33333333333,79481.6,74707.2,78000.93333333333
ESD,226334.0,191470.0,309934.4,238973.33333333334,239452.53333333333
GSFP,5686.0,27375.0,18419.6,33303.53333333333,35058.433333333334
BCTX,2163513.0,2000106.3333333333,5375877.0,2498245.933333333,1878609.1333333333
BREZ,12518.0,11705.0,47432.8,37579.86666666667,44437.53333333333
CSLT,569028.0,652416.6666666666,621779.2,668470.0,907570.0
VPCC,21157.0,34658.666666666664,38879.8,85187.73333333334,93584.4
STCN,40756.0,50092.0,57949.6,59841.6,81032.63333333333
TPHE,22.0,1453.0,1624.2,3373.0666666666666,33172.96666666667
BMAR,635.0,385.3333333333333,1944.8,2476.6666666666665,4711.866666666667
DXPE,49408.0,57227.333333333336,69742.0,64974.666666666664,57270.03333333333
VPOP,205.0,1091.0,857.4,3946.733333333333,6057.133333333333
PXF,41148.0,139903.0,145650.4,165606.93333333332,192973.4
TWCBW,2525.0,3574.6666666666665,3999.8,7066.333333333333,6956.166666666667
NVSAU,6728.0,9823.666666666666,16298.4,10061.466666666667,12008.7
MNR,679505.0,1027758.0,1143549.8,1189610.7333333334,1236427.5666666667
PAGS,3102767.0,3499128.0,3846161.8,3747511.8666666667,3128280.433333333
LIVE,8811.0,5716.0,5651.4,7176.533333333334,11349.233333333334
MNTS,1001023.0,935184.6666666666,956996.0,741438.0,530832.5333333333
WVVI,23261.0,14867.0,14219.6,19059.133333333335,17197.266666666666
RSI,1611439.0,1434363.0,1527105.8,1420639.6,1273044.2
RELIW,2500.0,1334.6666666666667,3195.8,20404.733333333334,12162.0
CH,16780.0,33784.333333333336,37218.4,29172.8,23557.7
AKICW,200.0,708.3333333333334,4320.6,5791.866666666667,9454.133333333333
EZPW,219770.0,254708.0,342743.6,379502.2,444128.06666666665
FLR,1857085.0,1762852.0,2066901.8,1796721.9333333333,2266340.9
BLDE,891036.0,902045.6666666666,979772.6,1090972.8666666667,983196.7666666667
CTS,150231.0,150453.0,185130.6,123652.66666666667,124611.46666666666
CHX,1240310.0,1344290.0,1409095.0,1515190.8,1317701.5
SESN,4727988.0,4541009.666666667,5060140.0,4998907.866666666,10263655.533333333
KONG,2668.0,1191.6666666666667,3270.2,5327.666666666667,3046.366666666667
NEE-P,8732.0,23604.0,80410.4,57439.8,131779.53333333333
ANIP,120695.0,129811.33333333333,129389.2,130625.0,349822.73333333334
VUSE,24945.0,25831.333333333332,31389.6,24232.866666666665,22239.466666666667
EXLS,110011.0,105908.0,152580.6,138875.66666666666,158641.5
DFNL,9731.0,6826.0,8873.0,8514.6,9012.433333333332
EQCO.CL,2445.0,6190.0,8009.4,14589.333333333334,21886.375
GLSPT,16089.0,10432.666666666666,12595.4,11544.333333333334,13012.433333333332
CCK,1773746.0,1164544.6666666667,1308730.4,1288031.1333333333,1243397.2
